id;order_number;created_at;total
1;plus au dépens de;2025-09-07T17:28:21;12234.14
2;main-d’œuvre produire d’autant que;2025-09-07T20:24:57;8438.38
3;simple antagoniste guère;2025-09-08T01:43:44;15722.73
4;constater;2025-09-08T02:07:17;16188.75
5;paraître reconstituer considérer;2025-09-08T08:39:38;7815.93
6;là-haut économiser;2025-09-08T09:16:29;27349.85
7;défendre d'avec meuh;2025-09-07T16:06:01;26915.84
8;bè mal cadre;2025-09-07T16:17:10;12174.71
9;circulaire ensuite incognito;2025-09-08T11:56:11;23901.92
10;ronron;2025-09-08T00:07:28;32272.23
