id;name;sku;price;image
1;avant concernant encourager;1875;32713.38;ci
2;dehors délectable malade;1207;13007.58;ailleurs dans la mesure où mairie
3;considérable épuiser;28545;2810.39;guère
4;hurler boum aux alentours de;9395;20174.32;de façon à même si
5;prout;6346;22991.2;commis circulaire
6;d’autant que quand demain;16846;14657.46;depuis
7;doucement;3633;5185.19;du côté de parfois
8;neutre auparavant;27047;14145.54;aussitôt
9;comme bzzz;29856;11507.97;hormis simple
10;glouglou;11500;10206.1;orange quoique parce que
